start_date,account_type,activity_master_key,video_plays,rank_video_plays,title
2019-05-27T00:00:00Z,Family,717-Video,161463.60728438073,1,qXVXlyUculJmTcCHhUNoArrAWseD
2019-05-27T00:00:00Z,Teacher,699-Video,147668.13831465022,1,iREuJFkQTwiwmUTNrIhOUKqrFWtAsuorncZ
2019-05-27T00:00:00Z,Teacher,645-Video,133666.0816232432,2,hWpVlUmJQcrcxhMc
2019-05-27T00:00:00Z,Family,718-Video,126902.24658761268,2,lIEFecVSArrxJBexXNpnknSnXAzpau
2019-05-27T00:00:00Z,Family,599-Video,111744.8289342371,3,mkumxrLQGpEgYBNMB
2019-05-27T00:00:00Z,Family,317-Video,108558.02204244965,4,FVtQngERtihfMuznFHGuzoKsvU
2019-05-27T00:00:00Z,Family,548-Video,101824.79259521567,5,EDFwuGtZZqpYjB
2019-05-27T00:00:00Z,Family,402-Video,100183.56791745238,6,jeiNgMxwfiFUrPjxI
2019-05-27T00:00:00Z,Family,365-Video,96044.16208682331,7,vdRVYrxYxMUovlRivg
2019-05-27T00:00:00Z,Family,379-Video,94322.59773951917,8,TuSjdxEYgRZeWSkx
2019-05-27T00:00:00Z,Family,716-Video,92283.50041260116,9,ScCRBntryNOIDGOghnIKBusyA
2019-05-27T00:00:00Z,Family,241-Video,91506.88360703952,10,fsoWPbMAN
2019-05-27T00:00:00Z,Teacher,376-Video,91445.67243024647,3,ngSsDhYvr
2019-05-27T00:00:00Z,Teacher,345-Video,90443.33941026051,4,YRyCPojAg
2019-05-27T00:00:00Z,Family,673-Video,86808.92578817399,11,SCgIBJGEqZXzLfwLuwREOxOixPxxBTT
2019-05-27T00:00:00Z,Teacher,332-Video,86487.56711001055,5,uqWlPcBqwCqTDfEzPMovrU
2019-05-27T00:00:00Z,Family,719-Video,83893.74349340564,12,vfpBMbeGIBvrtJ
2019-05-27T00:00:00Z,Family,380-Video,80159.86170903043,13,SvAyk
2019-05-27T00:00:00Z,Family,387-Video,78947.11526881841,14,triqIohaViUazuUbuktd
2019-05-27T00:00:00Z,Teacher,683-Video,73950.75296308684,6,GcJcUAOapYEZDy
2019-05-27T00:00:00Z,Family,645-Video,73667.65127041904,15,hWpVlUmJQcrcxhMc
2019-05-27T00:00:00Z,Family,353-Video,71322.49805953584,16,pFEfBPHf
2019-05-27T00:00:00Z,Family,214-Video,70209.2197816125,17,IKMzoGnzugGsBCNv
2019-05-27T00:00:00Z,Family,659-Video,69176.28117323,18,fJNSpOAQsKeGldQpuMJtPhUpt
2019-05-27T00:00:00Z,Family,699-Video,68093.60848370318,19,iREuJFkQTwiwmUTNrIhOUKqrFWtAsuorncZ
2019-05-27T00:00:00Z,Teacher,719-Video,66295.53016540775,7,vfpBMbeGIBvrtJ
